Year,Name,Award,Level,Team,Position
2018,Ryan Slager,ALL-AMERICA,NATIONAL INDIVIDUAL AWARDS,Honorable Mention,Linebacker
2015,Barrett Morrissette,ALL-AMERICA,NATIONAL INDIVIDUAL AWARDS,1st Team,Linebacker
2011,Robert Seer,ALL-AMERICA,NATIONAL INDIVIDUAL AWARDS,2nd Team,Wide Receiver
2018,Ryan Slager,ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Linebacker
2017,Ryan Slager,ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Linebacker
2015,Graham Fisher,ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Punter
2014,David Ternes,ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Linebacker
2012,David Ternes,ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Linebacker
2004,Sam Jones,ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Offensive Line
2024,Henry Baird,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Garrett Wilson,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Lucky Carton,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Nick Rhinehart,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Garret Bean,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
