Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#42 Morrissey, Kayla",24,64,82,0.78,2.7,3.4
"#05 Hirsh, Alissa",24,54,89,0.607,2.3,3.7
"#23 Boldt, Anne",24,39,48,0.813,1.6,2.0
"#11 Neckopulos, Alex",24,39,74,0.527,1.6,3.1
"#10 Gatton, Sophia",24,19,26,0.731,0.8,1.1
"#20 Stariha, Lydia",24,17,25,0.68,0.7,1.0
"#44 Guzzo, Daria",24,11,29,0.379,0.5,1.2
"#21 Norton, Kaitlyn",24,7,12,0.583,0.3,0.5
"#12 Lopez, Haley",24,6,6,1.0,0.3,0.3
"#32 Matosky, Jordan",20,5,10,0.5,0.3,0.5
"#24 Giles, Margaret",7,2,2,1.0,0.3,0.3
"#22 Greenberg, Leah",22,1,2,0.5,0.0,0.1
"#14 Kasprak, Regan",4,1,2,0.5,0.3,0.5
"#15 Keller, Ariel",6,1,2,0.5,0.2,0.3
"#13 Kessel, Hanna",5,1,2,0.5,0.2,0.4
