Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#12 Tomczik, Kate",24,64,96,0.667,2.7,4.0
"#25 Heath, Tyria",24,63,113,0.558,2.6,4.7
"#05 Ahooja, Sofia",23,41,62,0.661,1.8,2.7
"#15 Thomas, Sasha",24,33,56,0.589,1.4,2.3
"#44 Guzzo, Daria",24,31,50,0.62,1.3,2.1
"#22 Woolam, Olivia",24,15,20,0.75,0.6,0.8
"#32 Coalson, Aidan",24,10,14,0.714,0.4,0.6
"#20 Stender, Kathryn",6,10,16,0.625,1.7,2.7
"#21 Conroy, Keely",17,7,9,0.778,0.4,0.5
"#13 Kessel, Hanna",24,6,12,0.5,0.3,0.5
"#11 Kricfalusi, Mikayla",16,2,8,0.25,0.1,0.5
"#24 Shirley, Orion",4,0,2,0.0,0.0,0.5
