Year,Name,Award,Level,Team,Position
2020,Tyria Heath,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2018,Kayla Morrissey,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Forward
2008,Hannah Wolf,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Guard
2006,Hannah Wolf,All-Region,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Guard
2025,Grace Marsh,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2025,Nikki Ware,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2025,Skylar Thomas,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2025,Sara Booher,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Erin Lillis,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Eva Carchidi,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Aiyana Rockwell,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Sara Booher,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Erin Lillis,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
