Year,Name,Award,Level,Team,Position
2005,Rachel Moskowitz,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-AMERICA®,NATIONAL INDIVIDUAL AWARDS,1st Team,Forward
2024,Giada Bambi,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Defender
2022,Jane March,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Defender
2016,Carolyn Silverman,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,3rd Team,Forward
2014,Katy Oldach,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Goal Keeper
2012,Nicole Sipfle,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Midfielder
2010,Frances Leslie,NSCAA/UNITED SOCCER COACHES ASSOCIAITON ALL-REGION,REGION/DISTRICT INDIVIDUAL AWARDS,Hon. Mention,Forward
2024,Giada Bambi,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Maddie Beltramo,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Peyton Dixon,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Reese Komsthoeft,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Tori Thomas,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2024,Sarah Travis,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Giada Bambi,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Maddie Beltramo,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Tali Berk,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Reese Komsthoeft,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Jane March,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2023,Allison Wehrman,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,
2022,Elinor Arneson,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Goal Keeper
2022,Antarah Chopra,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Defender
2022,Jane March,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Defender
2022,Maddie Beltramo,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Defender
2022,Keiko Smith,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Forward
2008,Becca Mackenzie,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Defender
2005,Rachel Moskowitz,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,1st Team,Forward
2003,Rachel Moskowitz,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION/DISTRICT INDIVIDUAL AWARDS,2nd Team,Forward
2004,Sarah Evans,OFFENSIVE PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Forward
2006,"Rebecca Mackenzie	",DEFENSIVE PLAYER OF THE YEAR,MIDWEST CONFERENCE INDIVIDUAL AWARDS,,Defender
2024,Giada Bambi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Field Player
2024,Maddie Beltramo,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Field Player
2023,Giada Bambi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Field Player
2023,Jane March,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Field Player
2023,Maddie Beltramo,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Field Player
2023,Peyton Dixon,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Goal Keeper
2023,Sarah Travis,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Field Player
2022,Anatarah Chopra,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Defender
2022,Giada Bambi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Midfielder
2022,Jane March,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,1st Team,Midfielder/Defender
2022,Keiko Smith,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE INDIVIDUAL AWARDS,2nd Team,Forward
