Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#15 Briggs, Michelle",23,240,10.4,72,3.1,168,7.3
"#10 Alabi, Tolu",23,172,7.5,59,2.6,113,4.9
#TM Team,23,99,4.3,30,1.3,69,3.0
"#34 Burnett, Elizabeth",23,89,3.9,32,1.4,57,2.5
"#13 Hirsh, Alissa",23,78,3.4,12,0.5,66,2.9
"#24 Boldt, Anne",23,68,3.0,18,0.8,50,2.2
"#20 Jaeger, Abby",23,47,2.0,16,0.7,31,1.3
"#05 Coleman, Cristal",21,32,1.5,7,0.3,25,1.2
"#12 Plemmons, Alex",22,31,1.4,11,0.5,20,0.9
"#23 DeGroot, Rebecca",3,21,7.0,4,1.3,17,5.7
"#22 Gogins, Karen",19,21,1.1,9,0.5,12,0.6
"#21 Clarke, Kelly",21,16,0.8,5,0.2,11,0.5
"#14 Matosky, Jordan",17,14,0.8,6,0.4,8,0.5
"#11 Miller, Isabelle",10,10,1.0,3,0.3,7,0.7
"#44 Schellinger, Jordan",6,1,0.2,1,0.2,0,0.0
