Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#10 Alabi, Tolu",23,62,99,0.626,2.7,4.3
"#13 Hirsh, Alissa",23,62,81,0.765,2.7,3.5
"#15 Briggs, Michelle",23,55,102,0.539,2.4,4.4
"#24 Boldt, Anne",23,35,42,0.833,1.5,1.8
"#20 Jaeger, Abby",23,25,37,0.676,1.1,1.6
"#05 Coleman, Cristal",21,8,16,0.5,0.4,0.8
"#12 Plemmons, Alex",22,8,12,0.667,0.4,0.5
"#34 Burnett, Elizabeth",23,4,13,0.308,0.2,0.6
"#14 Matosky, Jordan",17,3,4,0.75,0.2,0.2
"#21 Clarke, Kelly",21,2,2,1.0,0.1,0.1
"#23 DeGroot, Rebecca",3,2,7,0.286,0.7,2.3
"#11 Miller, Isabelle",10,2,4,0.5,0.2,0.4
"#22 Gogins, Karen",19,1,3,0.333,0.1,0.2
