Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#15 Briggs, Michelle",22,60,97,0.619,2.7,4.4
"#24 Huey, Megan",23,40,59,0.678,1.7,2.6
"#10 Alabi, Tolu",22,33,59,0.559,1.5,2.7
"#13 Jeannin, Ashley",23,33,53,0.623,1.4,2.3
"#23 DeGroot, Rebecca",23,25,29,0.862,1.1,1.3
"#20 Jaeger, Abby",23,22,34,0.647,1.0,1.5
"#12 Plemmons, Alex",23,7,14,0.5,0.3,0.6
"#05 Coleman, Cristal",23,5,7,0.714,0.2,0.3
"#34 Burnett, Elizabeth",12,2,3,0.667,0.2,0.3
"#21 Clarke, Kelly",15,0,2,0.0,0.0,0.1
"#44 Schellinger, Jordan",11,0,1,0.0,0.0,0.1
