Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#15 Briggs, Michelle",22,207,9.4,65,3.0,142,6.5
"#24 Huey, Megan",23,191,8.3,49,2.1,142,6.2
"#10 Alabi, Tolu",22,111,5.0,32,1.5,79,3.6
#TM Team,23,108,4.7,37,1.6,71,3.1
"#23 DeGroot, Rebecca",23,105,4.6,40,1.7,65,2.8
"#13 Jeannin, Ashley",23,45,2.0,8,0.3,37,1.6
"#34 Burnett, Elizabeth",12,44,3.7,18,1.5,26,2.2
"#20 Jaeger, Abby",23,39,1.7,10,0.4,29,1.3
"#12 Plemmons, Alex",23,37,1.6,13,0.6,24,1.0
"#05 Coleman, Cristal",23,25,1.1,4,0.2,21,0.9
"#21 Clarke, Kelly",15,12,0.8,2,0.1,10,0.7
"#11 Miller, Isabelle",13,9,0.7,3,0.2,6,0.5
