""
IMAGE,NO.,NAME,CAPTAIN,POS.,B/T,HT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Alexa Okada,,2B/OF,L/R,5-3,Fr.,"Waipahu, Hawaii / Punahou School"
,5,Lizzy Vermeulen,,C/3B,R/R,5-5,Fr.,"Evergreen, Colo. / Evergreen"
,10,Amanda Ramirez,,MIF/UT,R/R,5-6,So.,"Monterey Park, Calif. / Flintridge Sacred Heart Academy"
,11,Kathryn Vermeulen,,P/OF,R/R,5-5,Fr.,"Evergreen, Colo. / Evergreen"
,12,Emma Nelson,,OF,R/R,5-8,So.,"Stillwater, Minn. / Mahtomedi"
,13,Kyra Killion,,C/UT,R/R,5-3,Fr.,"Morton, Ill. / Morton"
,15,Christin Hartman,,P,R/R,5-8,Fr.,"Bettendorf, Iowa / Pleasant Valley"
,19,Maddy O'Bryan,,OF/P,R/R,5-4,Fr.,"Elkhorn, Neb. / Millard North"
,22,Mary Webb,,3B/UT,R/R,5-6,So.,"Elgin, Ill. / St. Charles North"
,23,Taylor Durak,,P/OF,R/R,5-10,Fr.,"Joliet, Ill. / Joliet Township West"
,26,Kambria Anson,,OF,L/R,5-6,Fr.,"Chandler, Ariz. / Chandler"
,34,Emma DiGiacomo-Zahller,,3B/UT,R/R,5-6,Fr.,"Arvada, Colo. / J.K. Mullen"
,88,Samantha Chu,,MIF,R/R,5-5,Fr.,"Redwood City, Calif. / Carlmont"
