Year,Name,Award,Level,Team,Position,Sport
2020,Tyria Heath,All-Region,REGION,3rd Team,Guard,Basketball
2018,Kayla Morrissey,All-Region,REGION,3rd Team,Forward,Basketball
2008,Hannah Wolf,All-Region,REGION,2nd Team,Guard,Basketball
2006,Hannah Wolf,All-Region,REGION,3rd Team,Guard,Basketball
2025,Grace Marsh,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2025,Nikki Ware,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2025,Skylar Thomas,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2025,Sara Booher,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2024,Erin Lillis,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2024,Eva Carchidi,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2024,Aiyana Rockwell,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2024,Sara Booher,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2023,Erin Lillis,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2018,Kayla Morrissey,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2013,Tolu Alabi,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,1st Team,,Basketball
2008,Hannah Wolf,COSIDA/COLLEGE SPORTS COMMUNICATORS ACADEMIC ALL-DISTRICT®,REGION,2nd Team,,Basketball
2022,Guard,NEWCOMER OF THE YEAR,MIDWEST CONFERENCE,,Guard,Basketball
2025,Sara Booher,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Basketball
2025,Bailey Strovers,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Basketball
2025,Nikki Ware,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Guard,Basketball
2024,Erin Lillis,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Guard,Basketball
2023,Erin Lillis,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Guard,Basketball
2022,Erin Lillis,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Guard,Basketball
2020,Tyria Heath,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Guard,Basketball
2018,Kayla Morrissey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Basketball
2017,Kayla Morrissey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Basketball
2017,Alex Neckopulos,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Basketball
2016,Alissa Hirsh,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Guard,Basketball
2015,Alissa Hirsh,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Guard,Basketball
2013,Tolu Alabi,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Guard,Basketball
2012,Megan Huey,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Basketball
2012,Michelle Briggs,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Center,Basketball
2010,Jessica Shotts,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Forward,Basketball
2008,Hannah Wolf,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Guard,Basketball
2007,Hannah Wolf,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Guard,Basketball
2006,Katy Bowen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forwr,Basketball
2006,2nd Tean,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,,Hannah Wolf,Basketball
2005,Katy Bowen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Basketball
2005,Hannah Wolf,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,Guard,Basketball
2004,Katy Bowen,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,1st Team,Forward,Basketball
2004,Tai Duncan,ALL-MIDWEST CONFERENCE,MIDWEST CONFERENCE,2nd Team,,Basketball
