Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#14 Lillis, Erin",21,143,361,0.396,6.8,17.2
"#34 Booher, Sara",23,57,138,0.413,2.5,6.0
"#10 Ware, Nikki",18,54,150,0.36,3.0,8.3
"#22 Thomas, Skylar",23,49,145,0.338,2.1,6.3
"#32 Ericksen, Kelsey",23,32,77,0.416,1.4,3.3
"#20 Rockwell, Aiyana",23,28,77,0.364,1.2,3.3
"#25 Dougherty, Annabel",21,25,53,0.472,1.2,2.5
"#13 Marsh, Grace",22,25,62,0.403,1.1,2.8
"#15 Hall, P.K.",23,23,61,0.377,1.0,2.7
"#11 Carchidi, Eva",20,21,79,0.266,1.1,4.0
"#35 Toay, Sarah",12,16,50,0.32,1.3,4.2
"#33 Friedman, Elena",11,12,28,0.429,1.1,2.5
"#24 Filkins, Annie",7,6,20,0.3,0.9,2.9
"#05 Cordes, Eleanor",2,0,4,0.0,0.0,2.0
