Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#14 Lillis, Erin",21,66,90,0.733,3.1,4.3
"#10 Ware, Nikki",18,45,51,0.882,2.5,2.8
"#34 Booher, Sara",23,32,60,0.533,1.4,2.6
"#35 Toay, Sarah",12,27,43,0.628,2.3,3.6
"#22 Thomas, Skylar",23,15,32,0.469,0.7,1.4
"#25 Dougherty, Annabel",21,13,18,0.722,0.6,0.9
"#20 Rockwell, Aiyana",23,11,19,0.579,0.5,0.8
"#11 Carchidi, Eva",20,10,12,0.833,0.5,0.6
"#15 Hall, P.K.",23,8,16,0.5,0.3,0.7
"#13 Marsh, Grace",22,7,9,0.778,0.3,0.4
"#32 Ericksen, Kelsey",23,5,8,0.625,0.2,0.3
"#05 Cordes, Eleanor",2,4,5,0.8,2.0,2.5
"#33 Friedman, Elena",11,4,4,1.0,0.4,0.4
"#24 Filkins, Annie",7,3,6,0.5,0.4,0.9
