Overall_1,2024 Season,,,,,,
Overall_1,,Date,,Opponent,,Score,Location
Overall_1,,08/30/2024,vs,Fontbonne University,W,3-0,"Grinnell, IA"
Overall_1,,08/30/2024,vs,Saint Mary's University (Minn.),W,3-0,"Grinnell, IA"
Overall_1,,08/31/2024,vs,College of St. Scholastica,W,3-1,"Grinnell, IA"
Overall_1,,08/31/2024,vs,Bethany Lutheran College,W,3-0,"Grinnell, IA"
Overall_1,,09/03/2024,at,Buena Vista University,W,3-0,"Storm Lake, IA"
Overall_1,,09/06/2024,vs,University of Wisconsin-Platteville,L,0-3,"Cedar Rapids, IA"
Overall_1,,09/06/2024,at,Coe College,W,3-0,"Cedar Rapids, IA"
Overall_1,,09/11/2024,vs,Nebraska Wesleyan University,L,2-3,"Grinnell, IA"
Overall_1,,09/13/2024,vs,University of Wisconsin-Superior,W,3-2,"St. Paul, MN"
Overall_1,,09/13/2024,at,Macalester College,W,3-0,"St. Paul, MN"
Overall_1,,09/14/2024,vs,Lewis & Clark College,W,3-1,"St. Paul, MN"
Overall_1,,09/14/2024,vs,Carleton College,L,1-3,"St. Paul, MN"
Overall_1,,09/18/2024,vs,Simpson College,W,3-2,"Grinnell, IA"
Overall_1,,09/20/2024,vs,Loras College,W,3-0,"Grinnell, IA"
Overall_1,,09/20/2024,vs,Augustana College (IL),L,2-3,"Grinnell, IA"
Overall_1,,09/24/2024,at,Wartburg College,L,1-3,"Waverly, IA"
Overall_1,,09/27/2024,vs,Central College,W,3-2,"Grinnell, IA"
Overall_1,*,10/01/2024,vs,Beloit College,W,3-0,"Grinnell, IA"
Overall_1,,10/05/2024,vs,Luther College,W,3-0,"Grinnell, IA"
Overall_1,*,10/12/2024,at,Lawrence University,W,3-0,"Appleton, WI"
Overall_1,*,10/18/2024,at,Illinois College,W,3-1,"Jacksonville, IL"
Overall_1,*,10/19/2024,at,Knox College,W,3-0,"Galesburg, IL"
Overall_1,,10/23/2024,at,New York University,L,0-3,"New York City, NY"
Overall_1,,10/25/2024,at,Kean University,L,0-3,"Union, NJ"
Overall_1,,10/25/2024,vs,Stevens,L,1-3,"Union, NJ"
Overall_1,*,11/01/2024,vs,Ripon College,W,3-0,"Grinnell, IA"
Overall_1,*,11/02/2024,vs,Lake Forest College,W,3-0,"Grinnell, IA"
Overall_1,*,11/06/2024,at,Cornell College,L,1-3,"Mount Vernon, IA"
Overall_1,*,11/09/2024,vs,Monmouth College,W,3-2,"Grinnell, IA"
Overall_1,,11/15/2024,vs,Monmouth College (Semifinal),W,3-1,"Mount Vernon, IA"
Overall_1,,11/16/2024,at,Cornell College (Championship),L,1-3,"Mount Vernon, IA"
Overall_1,Overall:,21-10,,,,,
Overall_1,Conf:,7-1,,,,,
Overall_1,Home:,12-2,,,,,
Overall_1,Away:,6-5,,,,,
Overall_1,Neutral:,3-3,,,,,
Overall_2,2023 Season,,,,,,
Overall_2,,Date,,Opponent,,Score,Location
Overall_2,,09/01/2023,vs,Bethany Lutheran College,W,3-2,"Grinnell, IA"
Overall_2,,09/01/2023,vs,Dominican University (Ill.),W,3-1,"Grinnell, IA"
Overall_2,,09/02/2023,vs,University of Wisconsin-Stout,L,0-3,"Grinnell, IA"
Overall_2,,09/02/2023,vs,Crown College,W,3-0,"Grinnell, IA"
