#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
2.0,"Chulaki, Sonia 2Chulaki, Sonia",1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
3.0,"Litke, Sidney 3 Litke, Sidney",9,12,1.33,3,0,0.0,0.33,0,0,0.0,0.0,0,0,View Bio
6.0,"Friedman, Emily 6Friedman, Emily",33,57,1.73,4,0,0.0,0.12,3,2,5.0,0.15,0,2,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",33,84,2.55,1,0,0.0,0.03,7,10,17.0,0.52,0,10,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",33,9,0.27,0,0,0.0,0.0,6,13,19.0,0.58,1,1,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",33,181,5.48,11,0,0.0,0.33,0,0,0.0,0.0,0,4,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",29,19,0.66,0,0,0.0,0.0,5,8,13.0,0.45,2,0,View Bio
17.0,"Lane, Elizabeth 17Lane, Elizabeth",5,0,0.0,0,0,0.0,0.0,0,4,4.0,0.8,0,1,View Bio
18.0,"Hill, Nora 18Hill, Nora",1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",33,119,3.61,7,0,0.0,0.21,3,3,6.0,0.18,0,1,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",29,67,2.31,6,0,0.0,0.21,0,0,0.0,0.0,0,0,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",32,14,0.44,3,0,0.0,0.09,15,12,27.0,0.84,1,1,View Bio
24.0,"Hood, Christine 24Hood, Christine",31,70,2.26,5,0,0.0,0.16,0,0,0.0,0.0,0,1,View Bio
,Total,33,632,19.15,44,0,0.0,1.33,39,52,65.0,1.97,4,22,
,Opponents,33,639,19.36,44,0,0.0,1.33,18,56,46.0,1.39,2,24,
