Name,GP,STL,STL/G
"#10 Ware, Nikki",21,40,1.9
"#14 Lillis, Erin",22,30,1.4
"#15 Hall, P.K.",22,24,1.1
"#05 Ahooja, Sofia",20,23,1.2
"#20 Rockwell, Aiyana",22,14,0.6
"#32 Coalson, Aidan",22,9,0.4
"#34 Booher, Sara",22,5,0.2
"#13 Marsh, Grace",18,5,0.3
"#35 Toay, Sarah",9,5,0.6
"#44 Delaney, Sophie",19,3,0.2
"#25 Dougherty, Annabel",9,3,0.3
"#24 Filkins, Annie",7,3,0.4
"#11 Carchidi, Eva",18,2,0.1
"#33 Friedman, Elena",6,2,0.3
"#21 Nyquist, Emmy",13,2,0.2
"#12 Tomczik, Kate",8,2,0.3
"#45 Singleton, Aliya",8,1,0.1
"#22 Woodard, Valeriya",4,1,0.3
