Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#14 Lillis, Erin",22,81,99,0.818,3.7,4.5
"#10 Ware, Nikki",21,48,56,0.857,2.3,2.7
"#05 Ahooja, Sofia",20,20,29,0.69,1.0,1.5
"#32 Coalson, Aidan",22,13,25,0.52,0.6,1.1
"#12 Tomczik, Kate",8,11,25,0.44,1.4,3.1
"#34 Booher, Sara",22,9,19,0.474,0.4,0.9
"#20 Rockwell, Aiyana",22,9,11,0.818,0.4,0.5
"#11 Carchidi, Eva",18,8,10,0.8,0.4,0.6
"#15 Hall, P.K.",22,5,11,0.455,0.2,0.5
"#13 Marsh, Grace",18,5,10,0.5,0.3,0.6
"#25 Dougherty, Annabel",9,3,5,0.6,0.3,0.6
"#21 Nyquist, Emmy",13,2,2,1.0,0.2,0.2
"#23 Collier, Claire",4,1,2,0.5,0.3,0.5
"#35 Toay, Sarah",9,0,2,0.0,0.0,0.2
