Name,GP,TO,TO/G
"#14 Lillis, Erin",22,68,3.1
"#32 Coalson, Aidan",22,52,2.4
"#10 Ware, Nikki",21,49,2.3
"#05 Ahooja, Sofia",20,44,2.2
"#15 Hall, P.K.",22,24,1.1
"#20 Rockwell, Aiyana",22,24,1.1
"#34 Booher, Sara",22,21,1.0
#TM Team,22,16,0.7
"#13 Marsh, Grace",18,15,0.8
"#11 Carchidi, Eva",18,12,0.7
"#12 Tomczik, Kate",8,9,1.1
"#25 Dougherty, Annabel",9,7,0.8
"#21 Nyquist, Emmy",13,7,0.5
"#35 Toay, Sarah",9,5,0.6
"#44 Delaney, Sophie",19,4,0.2
"#22 Woodard, Valeriya",4,3,0.8
"#23 Collier, Claire",4,2,0.5
"#33 Friedman, Elena",6,2,0.3
"#45 Singleton, Aliya",8,2,0.3
"#24 Filkins, Annie",7,1,0.1
