Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#42 Gubbrud, Ellie",25,166,6.6,56,2.2,110,4.4
"#20 Stender, Kathryn",25,163,6.5,68,2.7,95,3.8
"#12 Tomczik, Kate",25,145,5.8,35,1.4,110,4.4
#TM Team,25,108,4.3,36,1.4,72,2.9
"#25 Heath, Tyria",25,107,4.3,37,1.5,70,2.8
"#23 Collier, Claire",25,74,3.0,18,0.7,56,2.2
"#35 Dos Santos, Stephany",21,64,3.0,34,1.6,30,1.4
"#32 Coalson, Aidan",9,57,6.3,25,2.8,32,3.6
"#05 Ahooja, Sofia",25,54,2.2,12,0.5,42,1.7
"#21 Nyquist, Emmy",22,53,2.4,11,0.5,42,1.9
"#13 Filkins, Annie",24,41,1.7,9,0.4,32,1.3
"#11 Kricfalusi, Mikayla",2,16,8.0,8,4.0,8,4.0
"#24 Singleton, Aliya",8,10,1.3,4,0.5,6,0.8
"#14 Shirley, Orion",7,4,0.6,3,0.4,1,0.1
"#10 Thomas, Sasha",2,1,0.5,1,0.5,0,0.0
