Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#14 Lillis, Erin",24,108,137,0.788,4.5,5.7
"#10 Ware, Nikki",24,48,57,0.842,2.0,2.4
"#25 Strovers, Bailey",24,46,61,0.754,1.9,2.5
"#34 Booher, Sara",24,40,77,0.519,1.7,3.2
"#24 Pierce, Carolyn",22,16,24,0.667,0.7,1.1
"#22 Thomas, Skylar",24,16,30,0.533,0.7,1.3
"#13 Marsh, Grace",20,14,24,0.583,0.7,1.2
"#20 Rockwell, Aiyana",24,9,16,0.563,0.4,0.7
"#12 Stephens, Reese",23,8,12,0.667,0.3,0.5
"#11 Carchidi, Eva",24,7,10,0.7,0.3,0.4
"#45 Schwartzman, Juniper",11,7,14,0.5,0.6,1.3
