Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#34 Booher, Sara",24,218,9.1,64,2.7,154,6.4
"#25 Strovers, Bailey",24,133,5.5,27,1.1,106,4.4
"#10 Ware, Nikki",24,104,4.3,25,1.0,79,3.3
"#11 Carchidi, Eva",24,94,3.9,9,0.4,85,3.5
#TM Team,24,89,3.7,30,1.3,59,2.5
"#14 Lillis, Erin",24,73,3.0,15,0.6,58,2.4
"#22 Thomas, Skylar",24,68,2.8,11,0.5,57,2.4
"#13 Marsh, Grace",20,63,3.2,14,0.7,49,2.5
"#20 Rockwell, Aiyana",24,51,2.1,7,0.3,44,1.8
"#24 Pierce, Carolyn",22,26,1.2,5,0.2,21,1.0
"#12 Stephens, Reese",23,25,1.1,5,0.2,20,0.9
"#45 Schwartzman, Juniper",11,16,1.5,5,0.5,11,1.0
"#23 Hamzavi, Meezan",7,1,0.1,0,0.0,1,0.1
