Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#23 Boldt, Anne",23,112,132,0.848,4.9,5.7
"#13 Hirsh, Alissa",17,66,92,0.717,3.9,5.4
"#10 Gatton, Sophia",23,32,46,0.696,1.4,2.0
"#15 Jaeger, Abby",23,29,43,0.674,1.3,1.9
"#05 Coleman, Cristal",21,17,29,0.586,0.8,1.4
"#24 Plemmons, Alex",23,17,27,0.63,0.7,1.2
"#12 Lopez, Haley",20,13,14,0.929,0.7,0.7
"#20 Stariha, Lydia",23,13,22,0.591,0.6,1.0
"#11 Neckopulos, Alex",21,11,20,0.55,0.5,1.0
"#32 Matosky, Jordan",22,10,22,0.455,0.5,1.0
"#14 Keller, Ariel",23,7,21,0.333,0.3,0.9
"#22 Greenberg, Leah",22,4,5,0.8,0.2,0.2
"#21 Norton, Kaitlyn",20,3,10,0.3,0.2,0.5
"#44 Schellinger, Jordan",7,1,2,0.5,0.1,0.3
