Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#34 Booher, Sara",16,174,10.9,48,3.0,126,7.9
"#25 Strovers, Bailey",16,142,8.9,32,2.0,110,6.9
#TM Team,16,76,4.8,30,1.9,46,2.9
"#45 Schwartzman, Juniper",16,65,4.1,29,1.8,36,2.3
"#22 Thomas, Skylar",16,50,3.1,7,0.4,43,2.7
"#10 Ware, Nikki",16,48,3.0,5,0.3,43,2.7
"#11 Lynch, Nora",15,45,3.0,15,1.0,30,2.0
"#33 Perez, Adriana",14,40,2.9,10,0.7,30,2.1
"#13 Marsh, Grace",16,31,1.9,6,0.4,25,1.6
"#15 Pak, Cassidy",16,18,1.1,2,0.1,16,1.0
"#21 Rigel, Amelia",14,13,0.9,3,0.2,10,0.7
"#12 Stephens, Reese",12,10,0.8,3,0.3,7,0.6
"#24 Keller, Jenna",5,5,1.0,1,0.2,4,0.8
"#20 Roesler, Emily",7,4,0.6,0,0.0,4,0.6
"#32 Ericksen, Kelsey",1,2,2.0,0,0.0,2,2.0
"#14 Pierce, Carolyn",4,2,0.5,0,0.0,2,0.5
