Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#34 Booher, Sara",16,76,139,0.547,4.8,8.7
"#25 Strovers, Bailey",16,64,154,0.416,4.0,9.6
"#10 Ware, Nikki",16,56,141,0.397,3.5,8.8
"#15 Pak, Cassidy",16,42,119,0.353,2.6,7.4
"#33 Perez, Adriana",14,31,86,0.36,2.2,6.1
"#11 Lynch, Nora",15,22,50,0.44,1.5,3.3
"#22 Thomas, Skylar",16,22,85,0.259,1.4,5.3
"#21 Rigel, Amelia",14,18,50,0.36,1.3,3.6
"#45 Schwartzman, Juniper",16,14,33,0.424,0.9,2.1
"#13 Marsh, Grace",16,7,24,0.292,0.4,1.5
"#12 Stephens, Reese",12,6,18,0.333,0.5,1.5
"#14 Pierce, Carolyn",4,5,13,0.385,1.3,3.3
"#32 Ericksen, Kelsey",1,1,1,1.0,1.0,1.0
"#24 Keller, Jenna",5,1,6,0.167,0.2,1.2
"#20 Roesler, Emily",7,1,1,1.0,0.1,0.1
"#05 Cordes, Eleanor",1,0,2,0.0,0.0,2.0
