Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#25 Strovers, Bailey",16,41,51,0.804,2.6,3.2
"#10 Ware, Nikki",16,41,46,0.891,2.6,2.9
"#33 Perez, Adriana",14,37,51,0.725,2.6,3.6
"#34 Booher, Sara",16,28,45,0.622,1.8,2.8
"#15 Pak, Cassidy",16,28,43,0.651,1.8,2.7
"#22 Thomas, Skylar",16,21,34,0.618,1.3,2.1
"#45 Schwartzman, Juniper",16,16,29,0.552,1.0,1.8
"#21 Rigel, Amelia",14,15,19,0.789,1.1,1.4
"#11 Lynch, Nora",15,11,14,0.786,0.7,0.9
"#14 Pierce, Carolyn",4,5,5,1.0,1.3,1.3
"#13 Marsh, Grace",16,0,3,0.0,0.0,0.2
"#12 Stephens, Reese",12,0,2,0.0,0.0,0.2
