Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#10 Ware, Nikki",16,34,77,0.442,2.1,4.8
"#25 Strovers, Bailey",16,27,75,0.36,1.7,4.7
"#15 Pak, Cassidy",16,10,43,0.233,0.6,2.7
"#11 Lynch, Nora",15,9,29,0.31,0.6,1.9
"#33 Perez, Adriana",14,9,39,0.231,0.6,2.8
"#22 Thomas, Skylar",16,7,29,0.241,0.4,1.8
"#13 Marsh, Grace",16,4,15,0.267,0.3,0.9
"#21 Rigel, Amelia",14,4,22,0.182,0.3,1.6
"#14 Pierce, Carolyn",4,3,9,0.333,0.8,2.3
"#12 Stephens, Reese",12,3,7,0.429,0.3,0.6
"#32 Ericksen, Kelsey",1,1,1,1.0,1.0,1.0
"#24 Keller, Jenna",5,1,5,0.2,0.2,1.0
"#34 Booher, Sara",16,0,1,0.0,0.0,0.1
