""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Ikaika Phillip,,G,6-2,200,Jr.,"Hauula, Hawaii / Iolani School"
,3,Griffin Boehm,,F,6-5,195,So.,"Wilmette, Ill. / Loyola Academy"
,4,Mike Porter,*,G,5-11,170,Sr.,"Arvada, Colo. / Early College High School at Arvada"
,5,Vinny Curta,,G,6-5,190,So.,"Oak Lawn, Ill. / Dwight D. Eisenhower"
,10,Henry Ward,,G,6-5,175,Fr.,"Beverly Hills, Calif. / Crossroads School"
,11,Gus King,,G,6-2,165,Jr.,"Boston, Mass. / Kimball Union Academy"
,12,Julian Marx,*,G,6-0,175,Sr.,"Miami, Fla. / Ransom Everglades School"
,13,Ky-Sean Johnson,,G,5-11,165,So.,"Wichita, Kan. / Maize"
,15,Noah Jacobson,,G,5-11,155,Fr.,"Portland, Ore. / Riverdale"
,21,Jermaine Marks,,G,5-9,190,Sr.,"Milwaukee, Wis. / University School Milwaukee"
,22,Nathan Balcom,,G,6-1,175,Jr.,"Greenville, R.I. / Wheeler School"
,23,Jacob Leder,,G,5-10,180,Fr.,"Westwood, Mass. / Buckingham Browne Nichols School"
,24,Andrew Redhead,,F,6-4,200,Jr.,"Mount Kisco, N.Y. / Fox Lane"
,25,Jake Conran,,F,6-6,200,Fr.,"Valley Village, Calif. / Oakwood School"
,33,Nick Curta,*,F,6-6,200,Sr.,"Oak Lawn, Ill. / Dwight D. Eisenhower"
,35,Jacob Ekstrand,,F,6-5,185,Jr.,"Carbondale, Ill. / Whitfield School"
,42,Mike Schroeder,,G,6-3,170,So.,"Silver Spring, Md. / Kennedy"
,44,Anthony Gulve,,G,5-10,165,Fr.,"St. Louis, Mo. / Webster Groves"
,45,Sean Cullinane,,G,6-3,185,Jr.,"New Canaan, Conn. / Saint Luke's School"
,54,Jakub Zajac,,G,6-2,180,Fr.,"Streamwood, Il. / Elgin"
,,Reggie Bynum,,G,5-10,170,So.,"Stone Mountain, Ga. / Wesleyan School"
,Mgr,Sophie Banegas,,,-,,So.,/
,Mgr,Vrishali Sinha,,,-,,So.,/
