""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Hannes Kogelnik,,G,6-7,220,Sr.,"Glen Echo, Md. / Walt Whitman"
,3,Jackson Breshears,,G,6-3,180,Sr.,"Tucson, Ariz. / Salpointe Catholic"
,10,Zachary Stice,,G,6-0,170,Sr.,"Eugene, Ore. / South Eugene"
,12,Christian Brookens,,G,6-0,170,Jr.,"Homewood, Ill. / University of Chicago Lab School"
,13,Aiden Gilbert,,G,5-11,155,So.,"Redondo Beach, Calif. / Crean Lutheran"
,15,Noah Bumanglag,,G,5-9,150,So.,"Honolulu, Hawaii / Iolani School"
,21,Patrick Simms,,G,6-2,190,Jr.,"Henderson, Nev. / Coronado"
,22,Tyler Grumhaus,,G,6-2,165,Sr.,"Lake Forest, Ill. / Lake Forest Academy"
,23,Will Dubow,,F,6-7,230,Sr.,"Washington, Conn. / Salisbury School"
,25,Dawson Keller,,F,6-7,185,Sr.,"Eagle, Colo. / Eagle Valley"
,35,Adam Phillips,,G,6-3,165,So.,"Ridgeway, Wis. / Dodgeville"
,42,Tate McLean,,G,5-11,165,So.,"New York, N.Y. / Bronx High School Science"
,44,Brad Geiman,,F,6-8,190,Sr.,"Alexandria, Ky. / Campbell County"
,45,Will Bebee,,F,6-7,205,Jr.,"Carl Junction, Mo. / Carl Junction"
,,Derek Jones,,F,6-6,190,Sr.,"Decatur, Ill. / Argenta-Oreana"
,,Dean Mazlish,,G,5-9,165,So.,"Chevy Chase, Md. / Sidwell Friends School"
,,Alex Mickus,,F,6-7,180,Sr.,"Highlands Ranch, Colo. / Highlands Ranch"
,,Moze Thurmgreene,,G,6-2,175,So.,"San Francisco, Calif. / Jewish Community High School of the Bay"
,,Kort Breshears,,G,6-1,175,So.,"Tucson, Ariz. / University"
,,Jake Hull,,,-,,Fr.,"Grinnell, Iowa / Grinnell"
,,Jordon Ryan,,,-,,Fr.,"Florissant, Mo. / John Burroughs School"
