""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Ikaika Phillip,,G,6-2,200,Sr.,"Hauula, Hawaii / Iolani School"
,3,Jackson Breshears,,G,6-3,180,Fr.,"Tucson, Ariz. / Salpointe Catholic"
,4,Griffin Boehm,,F,6-5,195,Jr.,"Wilmette, Ill. / Loyola Academy"
,5,Vinny Curta,,G,6-5,190,Jr.,"Oak Lawn, Ill. / Dwight D. Eisenhower"
,10,Anthony Gulve,,G,5-11,175,So.,"St. Louis, Mo. / Webster Groves"
,10,Derek Jones,,F,6-6,190,Fr.,"Decatur, Ill. / Argenta-Oreana"
,10,Zachary Stice,,G,6-0,170,Fr.,"Eugene, Ore. / South Eugene"
,11,Gus King,,G,6-2,170,Sr.,"Boston, Mass. / Kimball Union Academy"
,11,Jacob Leder,,G,5-11,175,So.,"Westwood, Mass. / Buckingham Browne Nichols School"
,12,Nathan Balcom,,G,6-1,185,Sr.,"Greenville, R.I. / Wheeler School"
,13,Ky-Sean Johnson,,G,5-11,165,Jr.,"Wichita, Kan. / Maize"
,15,Noah Jacobson,,G,5-11,165,So.,"Portland, Ore. / Riverdale"
,21,Hannes Kogelnik,,G,6-7,190,Fr.,"Glen Echo, Md. / Walt Whitman"
,22,Tyler Grumhaus,,G,6-2,165,Fr.,"Lake Forest, Ill. / Lake Forest Academy"
,23,Will Dubow,,F,6-7,195,Fr.,"Washington, Conn. / Salisbury School"
,24,Andrew Redhead,,F,6-3,185,Sr.,"Mount Kisco, N.Y. / Fox Lane"
,25,Jake Conran,,F,6-6,205,So.,"Valley Village, Calif. / Oakwood School"
,33,Morgan Walser,,G,6-0,175,Fr.,"Antelope, Calif. / Antelope"
,35,Jacob Ekstrand,,F,6-5,185,Sr.,"Carbondale, Ill. / Whitfield School"
,42,Dawson Keller,,F,6-7,185,Fr.,"Eagle, Colo. / Eagle Valley"
,44,Brad Geiman,,F,6-8,190,Fr.,"Alexandria, Ky. / Campbell County"
,45,Sean Cullinane,,G,6-3,185,Sr.,"New Canaan, Conn. / Saint Luke's School"
,54,Alex Mickus,,F,6-7,180,Fr.,"Highlands Ranch, Colo. / Highlands Ranch"
,54,Tommy Smith,,F,6-9,235,Fr.,"Kenosha, Wis. / Saint Joseph Catholic Academy"
,Mgr,Sophie Banegas,,,-,,,/
,Mgr,Evan Bunis,,,-,,,/
,Mgr,Creede McClellan,,,-,,,/
