""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Hannes Kogelnik,,G,6-7,190,Jr.,"Glen Echo, Md. / Walt Whitman"
,3,Jackson Breshears,,G,6-3,180,Jr.,"Tucson, Ariz. / Salpointe Catholic"
,4,Jackson Qualley,,G,6-2,175,So.,"Lincolnshire, Ill. / Adlai E. Stevenson"
,5,Brady Vest,,G/F,6-4,185,So.,"Myrtle Beach, S.C. / Myrtle Beach"
,10,Zachary Stice,,G,6-0,170,Jr.,"Eugene, Ore. / South Eugene"
,12,Christian Brookens,,G,6-0,170,So.,"Homewood, Ill. / University of Chicago Lab School"
,13,Aiden Gilbert,,G,5-11,155,Fr.,"Redondo Beach, Calif. / Crean Lutheran"
,15,Noah Bumanglag,,G,5-9,150,Fr.,"Honolulu, Hawaii / Iolani School"
,21,Patrick Simms,,G,6-2,190,So.,"Henderson, Nev. / Coronado"
,22,Tyler Grumhaus,,G,6-2,165,Jr.,"Lake Forest, Ill. / Lake Forest Academy"
,23,Will Dubow,,F,6-7,195,Jr.,"Washington, Conn. / Salisbury School"
,24,Anthony Gulve,,G,5-11,175,Sr.,"St. Louis, Mo. / Webster Groves"
,25,Dawson Keller,,F,6-7,185,Jr.,"Eagle, Colo. / Eagle Valley"
,33,Morgan Walser,,G,6-0,175,Jr.,"Antelope, Calif. / Antelope"
,35,Adam Phillips,,G,6-3,165,Fr.,"Ridgeway, Wis. / Dodgeville"
,42,Tate McLean,,G,5-11,165,Fr.,"New York, N.Y. / Bronx High School Science"
,44,Brad Geiman,,F,6-8,190,Jr.,"Alexandria, Ky. / Campbell County"
,45,Will Bebee,,F,6-7,205,So.,"Carl Junction, Mo. / Carl Junction"
,54,Tommy Smith,,F,6-9,235,Jr.,"Kenosha, Wis. / Saint Joseph Catholic Academy"
,,Derek Jones,,F,6-6,190,Jr.,"Decatur, Ill. / Argenta-Oreana"
,,Dean Mazlish,,G,5-9,165,Fr.,"Chevy Chase, Md. / Sidwell Friends School"
,,Alex Mickus,,F,6-7,180,Jr.,"Highlands Ranch, Colo. / Highlands Ranch"
,,Brock Moritz,,F,6-6,195,So.,"Parkton, Md. / Hereford"
,,Christian Pontaoe,,G,5-11,175,Fr.,"Southlake, Texas / Carroll"
,,Moze Thurmgreene,,G,6-2,175,Fr.,"San Francisco, Calif. / Jewish Community High School of the Bay"
,,Brody Barton,,G,6-1,185,Fr.,"Corbin, Ky. / Corbin"
,,Kort Breshears,,G,6-1,175,Fr.,"Tucson, Ariz. / University"
,,Nick Carty,,G,6-1,180,So.,"Carlsbad, Calif. / Sage Creek"
