""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Jackson Leone,,G,6-4,175,Jr.,"Darien, Conn. / Taft School"
,1,Ryan Tarighi,,G,6-4,180,Fr.,"Dallas, Texas / Plano West Senior High"
,2,Tolu Johnson,,G/F,6-5,200,Jr.,"Chicago, Ill. / University High"
,3,Sean Walser,,G,6-4,195,So.,"Antelope, Calif. / Winchendon School"
,4,Jordan Lee,,G,6-1,170,Fr.,"San Pedro, Calif. / Rolling Hills Prep"
,5,Nick Courtney,,G,6-4,180,So.,"Corona del Mar, Calif. / Mater Dei"
,10,Gabe Garcia,,G,6-1,180,Fr.,"Alameda, Calif. / Alameda"
,11,Kai Te Huki,,F,6-6,190,Fr.,"Palmerstown North, New Zealand / Palmerstown North Boys High School"
,12,Mitch Priest,,G,6-1,165,Jr.,"Columbus, Ohio / Columbus Academy"
,13,Carson DeBruhl,,G,6-1,160,Fr.,"Seattle, Wash. / Seattle Academy of Arts and Sciences"
,14,Strahinja Nikolic,,F,6-8,196,Fr.,"Omoljica, Serbia / Vazduhoplovna Akademija"
,15,Zach Rosen,,G,5-11,150,So.,"Deerfield, Ill. / Rochelle Zell Jewish High School"
,21,Sean Murphy,,G,6-5,160,So.,"Nampa, Idaho / Skyview"
,22,David Bluder,,G,6-4,170,Jr.,"Solon, Iowa / Solon"
,24,Dillon Gestring,,G/F,6-5,200,Jr.,"Vermillion, S.D. / Vermillion"
,25,Tanner Deal,,G,6-3,195,Fr.,"Irvine, Calif. / Pacifica Christian"
,33,Jack Ruhanen,,F,6-7,205,Jr.,"Bronxville, N.Y. / Salisbury School"
,35,Jordon Ryan,,G,6-1,200,Sr.,"Florissant, Mo. / John Burroughs School"
,42,Max DeGeorge,,G,6-1,170,Jr.,"Grand Junction, Colo. / Grand Junction"
,45,Nick Lundy,,G/F,6-4,210,Fr.,"Manhattan Beach, Calif. / Mira Costa"
,54,John Vincent,,F,6-9,220,So.,"Oak Park, Ill. / Oak Park River Forest"
