""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Jackson Leone,,G,6-4,175,So.,"Darien, Conn. / Taft School"
,3,Tate McLean,,G,5-11,170,Sr.,"New York, N.Y. / Bronx High School Science"
,4,Zach Rosen,,G,5-11,150,Fr.,"Deerfield, Ill. / Rochelle Zell Jewish High School"
,5,Brady Vest,,G/F,6-5,180,Sr.,"Myrtle Beach, S.C. / Myrtle Beach"
,10,Adam Phillips,,G,6-4,175,Sr.,"Ridgeway, Wis. / Dodgeville"
,11,Kort Breshears,,G,6-1,170,Sr.,"Tucson, Ariz. / University"
,11,Sean Murphy,,G,6-5,160,Fr.,"Nampa, Idaho / Skyview"
,12,Mitch Priest,,G,6-1,165,So.,"Columbus, Ohio / Columbus Academy"
,13,Aiden Gilbert,,G,5-11,170,Sr.,"Redondo Beach, Calif. / Crean Lutheran"
,15,Dean Mazlish,,G,5-10,170,Sr.,"Chevy Chase, Md. / Sidwell Friends School"
,21,Moze Thurmgreene,,G,6-2,180,Sr.,"San Francisco, Calif. / Jewish Community High School of the Bay"
,22,David Bluder,,G,6-4,170,So.,"Solon, Iowa / Solon"
,23,Andre Wright,,G,5-9,160,So.,"Livermore, Calif. / Connections Academy"
,24,Dillon Gestring,,G/F,6-5,200,So.,"Vermillion, S.D. / Vermillion"
,25,Sean Walser,,G,6-4,195,Fr.,"Antelope, Calif. / Winchendon School"
,33,Jack Ruhanen,,F,6-7,185,So.,"Bronxville, N.Y. / Salisbury School"
,35,Jordon Ryan,,G,6-1,200,Jr.,"Florissant, Mo. / John Burroughs School"
,42,Max DeGeorge,,G,6-1,170,So.,"Grand Junction, Colo. / Grand Junction"
,44,Tolu Johnson,,G/F,6-5,200,So.,"Chicago, Ill. / University High"
,45,Nick Courtney,,G,6-4,180,Fr.,"Corona del Mar, Calif. / Mater Dei"
,54,John Vincent,,F,6-9,220,Fr.,"Oak Park, Ill. / Oak Park River Forest"
,,Owen Theus,,,-,,Fr.,"Little Rock, Ark. / Little Rock Central"
,,Garrett Wilson,,G,6-0,180,So.,"Anniston, Ala. / White Plains"
