""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Jackson Leone,,G,6-4,175,Sr.,"Darien, Conn. / Taft School"
,1,Harris Dar,,G,6-3,185,Fr.,"Plano, Texas / Parish Episcopal School"
,2,Tolu Johnson,,G/F,6-5,200,Sr.,"Chicago, Ill. / University High"
,3,Sean Walser,,G,6-4,195,Jr.,"Antelope, Calif. / Winchendon School"
,4,Jordan Lee,,G,6-1,170,So.,"San Pedro, Calif. / Rolling Hills Prep"
,5,Nick Courtney,,G,6-4,190,Jr.,"Corona del Mar, Calif. / Mater Dei"
,10,Gabe Garcia,,G,6-2,175,So.,"Alameda, Calif. / Alameda"
,11,Kai Te Huki,,F,6-6,190,So.,"Palmerstown North, New Zealand / Palmerstown North Boys High School"
,12,Mitch Priest,,G,6-1,165,Sr.,"Columbus, Ohio / Columbus Academy"
,13,Carson DeBruhl,,G,6-1,160,So.,"Seattle, Wash. / Seattle Academy of Arts and Sciences"
,15,Zach Rosen,,G,5-11,150,Jr.,"Deerfield, Ill. / Rochelle Zell Jewish High School"
,21,Sean Murphy,,G,6-5,160,Jr.,"Nampa, Idaho / Skyview"
,22,David Bluder,,G,6-4,170,Sr.,"Solon, Iowa / Solon"
,23,Strahinja Nikolic,,F,6-8,196,So.,"Omoljica, Serbia / Vazduhoplovna Akademija"
,24,Dillon Gestring,,G/F,6-5,200,Sr.,"Vermillion, S.D. / Vermillion"
,25,Tanner Deal,,G,6-3,195,So.,"Irvine, Calif. / Pacifica Christian"
,33,Jack Ruhanen,,F,6-7,205,Sr.,"Bronxville, N.Y. / Salisbury School"
,42,Max DeGeorge,,G,6-1,170,Sr.,"Grand Junction, Colo. / Grand Junction"
,45,Nick Lundy,,G/F,6-4,210,So.,"Manhattan Beach, Calif. / Mira Costa"
,54,John Vincent,,F,6-9,220,Jr.,"Oak Park, Ill. / Oak Park River Forest"
