""
IMAGE,NO.,NAME,CAPTAIN,POS.,HT.,WT.,YR.,HOMETOWN / HIGH SCHOOL
,2,Jackson Leone,,G,6-4,175,Fr.,"Darien, Conn. / Taft School"
,3,Tate McLean,,G,5-11,170,Jr.,"New York, N.Y. / Bronx High School Science"
,3,Christian Brookens,,G,6-0,175,Sr.,"Homewood, Ill. / University of Chicago Lab School"
,4,Will Lasater,,G/F,6-8,190,Fr.,"West Lafayette, Ind. / West Lafayette"
,5,Brady Vest,,G/F,6-5,180,Jr.,"Myrtle Beach, S.C. / Myrtle Beach"
,10,Adam Phillips,,G,6-4,175,Jr.,"Ridgeway, Wis. / Dodgeville"
,11,Kort Breshears,,G,6-1,170,Jr.,"Tucson, Ariz. / University"
,12,Mitch Priest,,G,6-1,165,Fr.,"Columbus, Ohio / Columbus Academy"
,13,Aiden Gilbert,,G,5-11,170,Jr.,"Redondo Beach, Calif. / Crean Lutheran"
,15,Dean Mazlish,,G,5-10,170,Jr.,"Chevy Chase, Md. / Sidwell Friends School"
,21,Patrick Simms,,G,6-2,200,Sr.,"Henderson, Nev. / Coronado"
,22,David Bluder,,G,6-4,170,Fr.,"Solon, Iowa / Solon"
,23,Moze Thurmgreene,,G,6-2,180,Jr.,"San Francisco, Calif. / Jewish Community High School of the Bay"
,23,Chaz Del Mar,,G,6-3,205,Sr.,"Harvest, Ala. / Sparkman"
,23,Andre Wright,,G,5-9,160,Fr.,"Livermore, Calif. / Connections Academy"
,24,Dillon Gestring,,G/F,6-5,200,Fr.,"Vermillion, S.D. / Vermillion"
,25,Will Bebee,,F,6-7,215,Sr.,"Carl Junction, Mo. / Carl Junction"
,33,Morgan Walser,,G,6-0,170,Sr.,"Antelope, Calif. / Antelope"
,35,Jordon Ryan,,G,6-1,200,So.,"Florissant, Mo. / John Burroughs School"
,42,Max DeGeorge,,G,6-1,170,Fr.,"Grand Junction, Colo. / Grand Junction"
,44,Tolu Johnson,,G/F,6-5,200,Fr.,"Chicago, Ill. / University High"
,45,Jack Ruhanen,,F,6-7,185,Fr.,"Bronxville, N.Y. / Salisbury School"
,54,Tommy Smith,,F,6-10,240,Sr.,"Kenosha, Wis. / Saint Joseph Catholic Academy"
,,Alex Stein,,G,5-10,175,Fr.,"Mansfield, Pa. / Mansfield"
,,Garrett Wilson,,G,6-0,180,Fr.,"Anniston, Ala. / White Plains"
